"Date","X1","X2","X3","X4","X5","X6","Europe","Month","MonthDate"
1958-01-31,NA,NA,NA,NA,NA,NA,NA,1,"1958-01"
1958-02-28,NA,NA,NA,NA,NA,NA,NA,2,"1958-02"
1958-03-31,NA,NA,NA,NA,NA,NA,NA,3,"1958-03"
1958-04-30,NA,NA,NA,NA,NA,NA,NA,4,"1958-04"
1958-05-31,NA,NA,NA,NA,NA,NA,NA,5,"1958-05"
1958-06-30,NA,NA,NA,NA,NA,NA,NA,6,"1958-06"
1958-07-31,0.0573031363804818,0.194902402587246,0.0172609741744688,0.178501336731255,0.0161957925821754,0.429435701561269,0.140427060935881,7,"1958-07"
1958-08-31,0.0363363314604749,0.146442203450681,0.0931603084960421,0.199552126762273,0.011698952051136,0.333958655625832,0.124115572515112,8,"1958-08"
1958-09-30,0.0769747780602516,0.286459703988997,0.148496584969835,0.265990480028289,0.0193329753845503,0.231276628184321,0.159875919694536,9,"1958-09"
1958-10-31,0.0201289764770828,0.261959334502747,0.0635343808244925,0.42423409248706,0.0283006091006078,0.198071574846927,0.155059896434417,10,"1958-10"
1958-11-30,0.187021617336942,0.140971325405883,0.216073688729478,0.274229175685947,0.0289566071149765,0.231310372578385,0.166084579030373,11,"1958-11"
1958-12-31,0.158396329085072,0.00956424512359048,0.345200364624629,0.310225691197605,0.0699714844486336,0.230003350903512,0.165154294257293,12,"1958-12"
1959-01-31,0.117461639006511,0.0236872954876532,0.321545483253085,0.138698271314183,0.0916639111074759,0.204368027291192,0.1331460757955,1,"1959-01"
1959-02-28,0.414367149001054,0.0820908730217988,0.183367431597433,0.215223609232486,0.178193706862169,0.204301534399252,0.217072809801029,2,"1959-02"
1959-03-31,0.372546051899924,0.0355464287331463,0.112977487667715,0.280938146778141,0.272239284310656,0.272980528345711,0.233052163111595,3,"1959-03"
1959-04-30,0.434660490584229,0.0344748205836748,0.159370033544832,0.437528983944281,0.294641216099074,0.347010612028041,0.288726701525166,4,"1959-04"
1959-05-31,0.339659921341185,0.0655407222378055,0.115835595331786,0.410879703311339,0.179933511680941,0.0791979354491257,0.202563692035079,5,"1959-05"
1959-06-30,0.53305881433547,0.100103904985927,0.321078495792929,0.296399590931267,0.356129826304863,0.103185329397786,0.295350181863307,6,"1959-06"
1959-07-31,0.84586223183171,0.136242326924852,0.532856741742613,0.311687223868549,0.700142708232351,0.178235780301621,0.476085411179788,7,"1959-07"
1959-08-31,0.711371249043026,0.0596639600648336,0.475610638165226,0.207138141705848,0.708602115778621,0.176453872489151,0.415898658512401,8,"1959-08"
1959-09-30,0.852817854524473,0.097110701860633,0.270686965009608,0.209165184937183,0.432640359108934,0.107092663225812,0.356936738183367,9,"1959-09"
1959-10-31,0.887101196223976,0.116735047110293,0.34516188756034,0.256095733341922,0.453797498707974,0.0410646626591192,0.377344252438872,10,"1959-10"
1959-11-30,0.802753419839731,0.0663292763416765,0.428766145496561,0.161372322622731,0.60948746324455,0.0960940918343865,0.389596077717379,11,"1959-11"
1959-12-31,0.651270551807522,0.0400603650126537,0.552095862997677,0.120918810352743,0.564586686970543,0.141752649687097,0.359525224083304,12,"1959-12"
1960-01-31,0.501677229999386,0.022998635072355,0.491176004531006,0.139936057318735,0.200542045000055,0.196703820758959,0.250495016764264,1,"1960-01"
1960-02-28,0.459867335431985,0.0236998808059632,0.564965636810466,0.175640502557719,0.0450849063880044,0.355442594488638,0.244463689187846,2,"1960-02"
1960-03-31,0.320895242850261,0.00655292562078858,0.743959963584492,0.0200792825370025,0.188181523273757,0.366413112101148,0.244458025713934,3,"1960-03"
1960-04-30,0.352303083641968,0.0154584929484029,0.868468085811881,0.028197887446926,0.324512278268343,0.290270104922229,0.28626697633584,4,"1960-04"
1960-05-31,0.274757418157461,0.0282836370316101,0.834345916916039,0.0173363380953771,0.103008515025582,0.303067390407845,0.220818071149162,5,"1960-05"
1960-06-30,0.272264845654133,0.112495029162652,0.378112421063659,0.10290129955569,0.155391139444115,0.217906503375363,0.196726094142264,6,"1960-06"
1960-07-31,0.0914262039935271,0.0871930871305662,0.629208036619464,0.108569929863338,0.328017576407597,0.239668785221247,0.226551617211324,7,"1960-07"
1960-08-31,0.0234935639446561,0.0307596222143275,0.748878707948416,0.114415248446217,0.256017838076041,0.102472650779574,0.181175451683528,8,"1960-08"
1960-09-30,0.017919311600182,0.0863777224384585,0.647055328258257,0.0946693270008995,0.157135644305119,0.114040696681334,0.155781856986545,9,"1960-09"
1960-10-31,0.057234532047543,0.061385260598952,0.620954954456739,0.0450019754882265,0.0628718132233151,0.46796104347017,0.17957949291358,10,"1960-10"
1960-11-30,0.0569820599168411,0.238028376497134,0.604162614742518,0.0886461966967817,0.082231133826812,0.319333612476479,0.19851718616707,11,"1960-11"
1960-12-31,0.0658165687938537,0.164712299849597,0.7935675900544,0.0246304020402898,0.0493016853486192,0.542432858139798,0.223859105080686,12,"1960-12"
1961-01-31,0.0947104892467479,0.0942003075032482,0.652161191314444,0.0134100300468228,0.0414060521890509,0.48461782681595,0.189395428520214,1,"1961-01"
1961-02-28,0.127754468016138,0.154122626563164,0.458798320428314,0.0204736966460105,0.104645712175818,0.463558307920335,0.197284435893377,2,"1961-02"
1961-03-31,0.0949023676449918,0.165870138610103,0.194051856657223,0.0521809251964597,0.121397883090368,0.483040220707407,0.174837667827826,3,"1961-03"
1961-04-30,0.0877796041383722,0.233810149693859,0.0652146400840259,0.118884091952176,0.0593064026934203,0.315099159378166,0.142952100731348,4,"1961-04"
