"Date","X1","X2","X3","X4","X5","X6","Europe","Month","MonthDate"
1958-01-31,NA,NA,NA,NA,NA,NA,NA,1,"1958-01"
1958-02-28,NA,NA,NA,NA,NA,NA,NA,2,"1958-02"
1958-03-31,NA,NA,NA,NA,NA,NA,NA,3,"1958-03"
1958-04-30,NA,NA,NA,NA,NA,NA,NA,4,"1958-04"
1958-05-31,NA,NA,NA,NA,NA,NA,NA,5,"1958-05"
1958-06-30,NA,NA,NA,NA,NA,NA,NA,6,"1958-06"
1958-07-31,0.0881017461145304,0.348429813871057,0.0304829086584235,0.131834757955006,0.0151842386318717,0.433882076812301,0.169226590691947,7,"1958-07"
1958-08-31,0.0787114516524114,0.29288290522707,0.241769818743973,0.161853506729284,0.0139829730349428,0.314810275729402,0.167472429726286,8,"1958-08"
1958-09-30,0.140787124984061,0.503071989308313,0.312052905469817,0.204740602614029,0.0392272984731242,0.224094547053436,0.223971758379663,9,"1958-09"
1958-10-31,0.0522710005539266,0.438168358793162,0.161969440687731,0.277760282598207,0.0299934009289743,0.22652671914802,0.187179807653511,10,"1958-10"
1958-11-30,0.268636404831306,0.235930277305401,0.313678026838126,0.215065131298895,0.0611038047386744,0.293621161653362,0.21765499831349,11,"1958-11"
1958-12-31,0.195009110288575,0.0159346250977816,0.406759902437661,0.245453112791319,0.126010019144413,0.323892965624683,0.196959426554181,12,"1958-12"
1959-01-31,0.153622103214748,0.0243065066179861,0.321317376407762,0.129146156299601,0.105691068594018,0.246115559596845,0.148141746353117,1,"1959-01"
1959-02-28,0.384621177910429,0.0778098768663514,0.151691233890364,0.20422982806753,0.186378941622796,0.298763888918856,0.220998935733282,2,"1959-02"
1959-03-31,0.350801192055021,0.0272313421856212,0.0667902097174155,0.272280619355506,0.226600707596426,0.379688887150126,0.226412622581611,3,"1959-03"
1959-04-30,0.371949412101938,0.0310452295743769,0.113193994398194,0.444695703633279,0.298709635675514,0.421292058419034,0.283475926254683,4,"1959-04"
1959-05-31,0.26203897993425,0.0680254998014254,0.0759117977215901,0.440427422331611,0.208551522665717,0.138903991115735,0.20269099598812,5,"1959-05"
1959-06-30,0.437078960716841,0.087637931963031,0.231679430696491,0.344076864958622,0.363229710478696,0.137915225384137,0.277988505976853,6,"1959-06"
1959-07-31,0.720213887679969,0.142425844886881,0.39265387048617,0.325572013446141,0.66080668514385,0.21935837175558,0.436434448661493,7,"1959-07"
1959-08-31,0.541064393545322,0.06117238051368,0.288909911066252,0.196987288556192,0.63571945386076,0.204671462333407,0.348636560091629,8,"1959-08"
1959-09-30,0.751030937342957,0.0990824483263764,0.206363737522588,0.205823704909571,0.402004299683514,0.124357405441298,0.325619258212958,9,"1959-09"
1959-10-31,0.8107142277046,0.0934926240406359,0.29099457233327,0.268302626650454,0.467038242352777,0.0565632628142318,0.359326080228735,10,"1959-10"
1959-11-30,0.70814694081034,0.059833181582481,0.363396228291258,0.161235132311093,0.590858889199709,0.0969141627482515,0.358739663779959,11,"1959-11"
1959-12-31,0.564035578672848,0.0386871697582387,0.516489137237555,0.125021713075505,0.582091150552373,0.295925761062091,0.365207766410983,12,"1959-12"
1960-01-31,0.451345333444573,0.0113080369149624,0.473793006452578,0.165724627807643,0.280324223136758,0.248777545938007,0.265650803753912,1,"1960-01"
1960-02-28,0.439982943490381,0.0189887214524877,0.586116963040871,0.170856241846861,0.114581202718212,0.384437457876769,0.261036036169561,2,"1960-02"
1960-03-31,0.280181835305164,0.00353409395057909,0.754966336146096,0.0121655271304314,0.325246215200397,0.385846331158517,0.269142346818289,3,"1960-03"
1960-04-30,0.310017128997004,0.0122233672961879,0.846547190374035,0.0293630658186468,0.427543453536688,0.311895785685713,0.301070571103735,4,"1960-04"
1960-05-31,0.213992778264637,0.0206822377310992,0.691172051569946,0.022931884469667,0.143369991452806,0.302916391591606,0.20140263586232,5,"1960-05"
1960-06-30,0.232869768284128,0.0779161319447652,0.235803543214478,0.118786533400258,0.195267625931086,0.243751888870808,0.181938625960078,6,"1960-06"
1960-07-31,0.108326992978429,0.0865172594198934,0.38062987934267,0.166380065556552,0.287151819315268,0.288348892596938,0.208686171350205,7,"1960-07"
1960-08-31,0.0231568067781272,0.0430324367671266,0.490740573952753,0.173554421266059,0.240633594026125,0.180115541760041,0.171226340003437,8,"1960-08"
1960-09-30,0.0282116689830526,0.151920755428627,0.406528404480753,0.134176538554949,0.124721851784582,0.0510955274872658,0.13239643237036,9,"1960-09"
1960-10-31,0.053470245541055,0.157309311845943,0.510910624751568,0.0560131077716146,0.0486416988929072,0.512049605229629,0.188782705398082,10,"1960-10"
1960-11-30,0.0574644983450002,0.258179457621748,0.51836164640185,0.0647582001245283,0.057272101206694,0.29780831660483,0.180567858000418,11,"1960-11"
1960-12-31,0.0643107547167083,0.179967932282234,0.698814434460085,0.0164518136053318,0.0421266454146424,0.502906862700038,0.207236730855469,12,"1960-12"
1961-01-31,0.10623113163044,0.102401283101485,0.656626046574627,0.0191511903448727,0.0693355827233682,0.412797541538612,0.190149248083555,1,"1961-01"
1961-02-28,0.158588852532341,0.157731209915441,0.470018630946568,0.0187082749025954,0.134083653318267,0.364276767342719,0.197019347273557,2,"1961-02"
1961-03-31,0.100689765455464,0.152988022685433,0.213663207506179,0.0358440544953652,0.0863636559882613,0.42386161594422,0.157043217916098,3,"1961-03"
1961-04-30,0.0703283406860948,0.20497828926802,0.0827198502452046,0.0879397911703907,0.0515783406860275,0.292874012048091,0.126778206161685,4,"1961-04"
